nct_id,title,status,phase,enrollment_target,enrollment_type,n_sites,states,sex,min_age,max_age,conditions,eligibility_snippet
NCT07587112,Explore Neural Mechanism of Obsessive-Compulsive Disorder (OCD) by Intervention of Repetitive Transcranial Magnetic Stimulation With Symptom Provocation,RECRUITING,NA,96,ESTIMATED,1,No US/listed site,ALL,18 Years,65 Years,Obsessive-Compulsive Disorder (OCD),Inclusion Criteria: Adults aged 18-65 years. Diagnosis of obsessive-compulsive disorder according to DSM-5 criteria. Tre...
NCT06630065,Study of the Neural Circuits Underlying the Negative Emotional Bias of Depressive Disorders and Their Response to Ketamine,RECRUITING,NA,96,ESTIMATED,1,Paris,ALL,18 Years,No upper limit,Depressive Disorder,Inclusion Criteria: Patient inclusion criteria : Age over 18 Patient hospitalized or consulting at GHU Paris Psychiatrie...
NCT06640907,Feasibility Study and Pilot Hybrid Effectiveness-Implementation Trial for the Universal Prevention of Maternal Perinatal Mental Disorders as Normalized Routine Practice (e-Perinatal Pilot),RECRUITING,NA,96,ESTIMATED,1,Seville,ALL,18 Years,No upper limit,"Perinatal Depression, Perinatal Anxiety",Inclusion criteria for mothers: Must receive an invitation to participate from a healthcare professional at one of the p...
NCT07137000,The Effect of Art Therapy in Patients Undergoing Colorectal Cancer,ACTIVE_NOT_RECRUITING,NA,96,ESTIMATED,1,No US/listed site,ALL,18 Years,70 Years,"Colon Cancer, Rectum Cancer","Inclusion Criteria: Between the ages of 18 and 70, Planned colorectal cancer surgery, Not receiving neoadjuvant treatmen..."
NCT06429956,Combining Treatment Components in Transdiagnostic Therapy for Anxiety and Depression,RECRUITING,NA,93,ESTIMATED,1,No US/listed site,ALL,18 Years,No upper limit,"Depression, Anxiety","Inclusion Criteria: 1. Age ≥ 18 years. 2. A diagnosis of an anxiety disorder (generalized anxiety disorder, social anxie..."
NCT07636005,Psychological Empowerment Program in Preventing Postpartum Depression Among Pregnant Women,ACTIVE_NOT_RECRUITING,NA,92,ESTIMATED,1,West Sumatra,FEMALE,18 Years,No upper limit,Postpartum Depression,Inclusion Criteria : Pregnant women between 30-33 weeks of gestation Primiparous Age 18 years and above Able to read and...
NCT07322484,Supportive Care-Based Training and Psychological Outcomes in Midwifery Students,ACTIVE_NOT_RECRUITING,NA,92,ACTUAL,1,Mersin,FEMALE,18 Years,No upper limit,"Clinical Self-Efficacy, Psychological Outcomes, Secondary Traumatic Stress",Inclusion Criteria: Voluntary participation in the study Native Turkish speakers Enrollment as a fourth-year student in ...
NCT00494728,Smoking Cessation for Depressed Smokers,ACTIVE_NOT_RECRUITING,"PHASE1, PHASE2",91,ACTUAL,1,Texas,ALL,16 Years,No upper limit,"Smoking, Depression","Inclusion Criteria: 1. Currently meeting DSM-IV criteria for major depressive disorder, recurrent; or major depressive d..."
NCT07734454,Immersive Visual Modulation and Ambient Music Therapy During Transvaginal Ultrasonography in Women With Vaginismus,ENROLLING_BY_INVITATION,NA,90,ESTIMATED,1,No US/listed site,FEMALE,20 Years,40 Years,Vaginismus,Inclusion Criteria: Female participants aged 20-40 years. Diagnosis of Genito-Pelvic Pain/Penetration Disorder (GPPPD; v...
NCT07780084,"Stratified Care Intervention for Suicidal Ideation, Depression, and Non-Suicidal Self-Injury in Adolescents (Reframe-IT+ & CARIBOU)",ACTIVE_NOT_RECRUITING,NA,90,ACTUAL,1,No US/listed site,ALL,14 Years,18 Years,"Depression in Adolescence, Suicidal Ideation, Non Suicidal Self Injury","Inclusion Criteria: 1. Schools Located in Santiago, Chile Secondary school (1st through 4th year of secondary school) At..."
NCT06902636,Geriatric Trauma Care Program for Living Alone Older Adults With Injuries,RECRUITING,NA,90,ESTIMATED,1,Kaohsiung,ALL,65 Years,No upper limit,"Limb Injury, Older Adults, Geriatric, Pain, Geriatric Depression, Barthel Index, Quality of Life, Loneliness",Inclusion Criteria: 1. willing to join this study for three months 2. with limb injuries 3. living alone in a household ...
NCT04620759,Psilocybin Treatment of Major Depressive Disorder With Co-occurring Alcohol Use Disorder,ACTIVE_NOT_RECRUITING,PHASE2,90,ESTIMATED,1,Maryland,ALL,21 Years,65 Years,"Major Depressive Disorder, Alcohol Use Disorder",Inclusion Criteria: 21 to 65 years old Fluent in English Have given written informed consent Have at least a high-school...
NCT06439043,Cultural Adaptation of EMDR for Major Depressive Disorder and Compaire Its Online and Face-to-Face Testing,RECRUITING,NA,90,ESTIMATED,1,No US/listed site,ALL,20 Years,50 Years,Major Depressive Disorder 1,Inclusion Criteria: 1. The patient should exhibit symptoms of Major Depressive Disorder. 2. Male and female patients wil...
NCT05999578,Contribution of Hypnosis on Image Quality in Cardiac MRI,RECRUITING,NA,90,ESTIMATED,1,No US/listed site,ALL,18 Years,No upper limit,Anxiety,Inclusion Criteria: Anxious patient (anxiety score TRAIT (baseline) and anxiety score STATE (situational) ≥ 46) and non-...
NCT07456111,A Comparison of Remimazolam Besylate and Propofol Sedation in Patients Undergoing Colonoscopic Polypectomy,RECRUITING,PHASE4,90,ESTIMATED,1,No US/listed site,ALL,18 Years,60 Years,"Colonic Polyp, Sedation Complication","Inclusion Criteria: Patients both male and female ages 18 to 60 years, with one or more colonic polyps confirmed by colo..."
NCT07055178,Perioperative Virtual Reality Intervention for Pain and Anxiety During Vasectomies,RECRUITING,NA,90,ESTIMATED,1,Manitoba,MALE,18 Years,No upper limit,"Vasectomy, Pain, Anxiety, Virtual Reality",Inclusion Criteria: 18 years of age or older. Can speak and read English. Have elected for a vasectomy. Are scheduled to...
NCT05117983,Non-invasive Brain Stimulation Normalizes Dopaminergic Transmission in the Frontostriatal Circuit to Alleviate Depression With Metabolic Disorders.,ACTIVE_NOT_RECRUITING,NA,90,ESTIMATED,1,No US/listed site,ALL,20 Years,70 Years,Depression,Inclusion Criteria: (1)Signed informed consent by patient or legal representative; (2) male or female patient aged ≧20 a...
NCT07594743,Feasibility and Acceptability of a Novel Digital Intervention to Prevent Paternal Postpartum Depression,RECRUITING,NA,90,ESTIMATED,1,Rhode Island,ALL,18 Years,No upper limit,"Paternal Postpartum Depression, Postpartum Anxiety","Inclusion Criteria: 1. English-speaking (for now, TIP is only available in English) 2. age >18 years old, 3. smartphone ..."
NCT07630623,"Effects of Progressive Muscle Relaxation Exercise and Finger Grip Exercise on Stress, Anxiety, Fatigue, Sleep Quality, and Physiological Parameters in Pregnant Women With Preeclampsia",ENROLLING_BY_INVITATION,NA,90,ESTIMATED,1,Altinordu,FEMALE,18 Years,No upper limit,"Pregnancy, Preeclampsia",Inclusion Criteria: 18 years of age or older Diagnosed with preeclampsia In their 20th week of pregnancy or older Know a...
NCT07061132,AI-Powered Interview Simulation to Improve Employability and Reduce Anxiety in Nursing and Midwifery Students,ACTIVE_NOT_RECRUITING,NA,90,ACTUAL,1,No US/listed site,ALL,18 Years,No upper limit,"Employment Anxiety, Perceived Employability, Educational Technology, Artificial Intelligence (AI), Nursing Education Research, Midwifery Education, Simulation Training",Inclusion Criteria: Must be 18 years of age or older Must be a senior-year student enrolled in a nursing or midwifery pr...
NCT06635486,Improving Mental Health in Forcibly Displaced Populations,RECRUITING,NA,90,ESTIMATED,1,No US/listed site,ALL,18 Years,No upper limit,"Anxiety, Post Traumatic Stress Disorder, Depression","Inclusion Criteria: To be eligible to participate in this study, an individual must meet all of the following criteria: ..."
NCT06956157,NAC for Treatment-Resistant OCD and Other Related Disorders,ACTIVE_NOT_RECRUITING,PHASE4,90,ESTIMATED,1,Guangdong,ALL,12 Years,55 Years,Obsessive Compulsive Disorder (OCD),1.Inclusion Criteria for Patient: (1) Age between 12 and 55 years. (2) A primary diagnosis of OCD according to DSM-5 cri...
NCT06687447,"The Effect of Two Methods Applied to Mothers on Insufficient Milk Perception, Breastfeeding Motivation, Fatigue, Anxiety",RECRUITING,NA,90,ESTIMATED,1,No US/listed site,FEMALE,18 Years,No upper limit,Caesarean Section,Inclusion Criteria: Mothers who gave birth at the age of 18 and over The one who is married At least primary school grad...
NCT06928480,Effectiveness and Acceptability of the Unified Protocol for the Transdiagnostic Treatment of Emotional Disorders in People With Long COVID-19.,RECRUITING,NA,90,ESTIMATED,2,Zaragoza,ALL,18 Years,No upper limit,"Long Covid-19, Emotional Disorder, Anxiety, Depression Disorders, Emotion Regulation",Inclusion Criteria: Residing in Autonomous Community of Aragon (Spain). Being at least 18 years old. Understanding of Sp...
NCT06628986,"MBSR and NLP, Postpartum Breastfeeding and Depression",RECRUITING,NA,90,ESTIMATED,1,Eyalet/Yerleşke,FEMALE,19 Years,35 Years,"Breastfeeding, Exclusive, Fatigue, Sleep, Postpartum Depression",Inclusion Criteria: 19-35 years old caesarean section primiparous breastfeeding women Exclusion Criteria: women who refu...
NCT06316804,Mobile Mental Health Stigma Reduction Intervention Among Black Adults,ACTIVE_NOT_RECRUITING,NA,90,ESTIMATED,1,Massachusetts,ALL,18 Years,45 Years,"Anxiety, Depression, Health Knowledge, Attitudes, Practice, Stigmatization, Mobile Phone Use",Inclusion Criteria: 1. If you identify as Black American or Black immigrant 2. Experience or been diagnosed with depress...
NCT07393737,The Effect of Using Virtual Reality and Kaleidoscope During Renal Scintigraphy on Children's Fear and Anxiety,ENROLLING_BY_INVITATION,NA,90,ESTIMATED,1,Mersin,ALL,4 Years,6 Years,Fear Anxiety,Inclusion Criteria: Being between 4 and 6 years of age Speaking Turkish Having no communication problems Administration ...
NCT07102017,A Randomized Controlled Trial of Robotic Support for Enhanced Later Life (RoSELL),ACTIVE_NOT_RECRUITING,NA,90,ESTIMATED,1,No US/listed site,ALL,65 Years,No upper limit,"Loneliness, Well-Being, Psychological, Depression - Major Depressive Disorder","The inclusion criteria of this program are: (1) being aged 65 or above, (2) living within the elderly community center f..."
NCT07265960,"Effects of Virtual Reality and Stress Ball on Fear, Pain, Anxiety, and Satisfaction in Ureterorenoscopy Patients",RECRUITING,NA,90,ESTIMATED,1,Tarsus,ALL,18 Years,No upper limit,Ureteroscopy,"Inclusion Criteria: • Aged 18 years or older, Scheduled for ureteroscopy (URS), Fully conscious, oriented, and cooperati..."
NCT06853106,Digital Sleep Program for College Students with Insomnia,RECRUITING,NA,90,ESTIMATED,1,No US/listed site,ALL,18 Years,26 Years,Insomnia,Inclusion Criteria: 1. Registered as a full-time student 2. Aged 18 to 26 years old 3. Experiencing insomnia for at leas...
NCT07209696,Storybook and Animation Video Adjuncts to Tell-Show-Do in Pediatric Dentistry,ACTIVE_NOT_RECRUITING,NA,90,ESTIMATED,1,Battalgazi,ALL,4 Years,8 Years,"Dental Anxiety, Dental Fear, Child Behavior, Cooperation During Dental Treatment",Inclusion Criteria: Children aged 4 to 8 years Requiring dental treatment in the pediatric dentistry clinic Classified a...
NCT07482345,Impact of Different Fasting Strategies on Gastric Ultrasound and Anxiety Levels in Children,RECRUITING,NA,90,ESTIMATED,2,"Bursa, Nilufer",ALL,2 Years,12 Years,"Preoperative Fasting, Enhanced Recovery After Surgery (ERAS) Protocol, Pediatric Surgery","Inclusion Criteria: Patients scheduled to undergo elective surgery under general anesthesia for circumcision, undescende..."
NCT07380412,A Study to Evaluate the Effects of a Supplement on the Side Effects Associated With Stimulant Medications,RECRUITING,NA,90,ESTIMATED,1,Nevada,ALL,18 Years,55 Years,"ADHD, Sleep Disturbance, Brain Fog","Inclusion Criteria: Aged 18-55 years Currently prescribed stimulant medication for ADHD Experiencing: sleep difficulty, ..."
NCT07620873,Effects of Virtual Reality Education on Anxiety and Learning in Patients Undergoing Urolithiasis Surgery,RECRUITING,NA,90,ESTIMATED,1,No US/listed site,ALL,18 Years,No upper limit,"Urolithiasis, Kidney Stone, Ureter Stones","Inclusion Criteria: Patients scheduled to undergo urolithiasis surgery with procedure codes 77026B, 77027B, 77028B, or 7..."
NCT07017543,Dynamics of Psychotherapy and Treatment Outcomes,ACTIVE_NOT_RECRUITING,NA,89,ACTUAL,1,Małopolska,ALL,18 Years,No upper limit,"Mental Disorders, Neurotic Disorders, Personality Disorders",Inclusion Criteria: diagnostic criteria for neurotic disorders (ICD-10: F40-F48.9) or personality disorders of mild to m...
NCT07506720,Early Mobilization Following Elective Spine Surgery: Trial of In-bed Cycling,RECRUITING,NA,88,ESTIMATED,1,Quebec,ALL,18 Years,No upper limit,"Spine, Post Surgery Patients, Recovery Method",Inclusion Criteria Male or female ≥ 18 years old. Postoperative #0 following elective spinal surgery: decompression with...
NCT06935526,"Mobile Education and Telephone Monitoring for ICD Patients: Effects on Anxiety, Acceptance, and Self-Efficacy",ENROLLING_BY_INVITATION,NA,88,ESTIMATED,1,Konyaaltı,ALL,18 Years,No upper limit,"Patient Acceptance of Health Care, Nursing, Implantable Cardioverter Defibrillator (ICD), Self-Efficacy, Shock, Cardiogenic",Inclusion Criteria: Having an ICD implant Being able to read and write Being 18 years of age or older Not having a cogni...
NCT06430853,Psychobiological Interventions in Pregnancy,ENROLLING_BY_INVITATION,NA,88,ESTIMATED,1,California,FEMALE,18 Years,No upper limit,"Pregnancy Complications, Mental Health Issue, Depression, Anxiety, Pregnancy, High Risk, Biological Clock Disturbance",Inclusion Criteria: Able to read and write in English or Spanish Presenting for a prenatal visit with a viable singleton...
NCT05906849,Where We All Meet: ACT Approach to Adolescents Anxiety Disorders,RECRUITING,NA,87,ESTIMATED,1,No US/listed site,ALL,14 Years,18 Years,"Social Anxiety Disorder, Generalized Anxiety Disorder",Inclusion Criteria: Healthy adolescent's sample: No mental health diagnosis; Adolescents with SAD sample: Main diagnosis...
NCT07003763,Electroacupuncture on Treating Cancer-related Depression,RECRUITING,NA,86,ESTIMATED,1,No US/listed site,ALL,18 Years,75 Years,"Depression, Cancer","Inclusion Criteria: 1. Presence of depression attributed to cancer itself or cancer-related treatments, meeting the diag..."
NCT05897021,Expressive Writing on Minority Stressors Among Sexual Minority Veterans,RECRUITING,NA,85,ESTIMATED,1,Massachusetts,ALL,18 Years,No upper limit,"Depressive Symptoms, Anxiety","Inclusion Criteria: Participants will be Veterans who: identify as a sexual minority (i.e., identify as gay, lesbian, bi..."
NCT06005766,The Efficacy of Metacognitive Skills Training in the Context of Forensic Psychiatric Care,RECRUITING,NA,85,ESTIMATED,1,No US/listed site,ALL,18 Years,No upper limit,"Schizophrenia, Schizoaffective Disorder, Psychotic Disorders, Delusional Disorder, Psychotic Depression",Inclusion Criteria (patients): Willingness to participate in a scientific study Diagnosis of a psychosis spectrum disord...
NCT07007234,Sedentary Behavior and Depressive Symptoms,RECRUITING,NA,84,ESTIMATED,2,"SO, São Paulo",ALL,18 Years,No upper limit,"Depression, Anxiety",Inclusion Criteria: individuals aged over 17 years; mild to severe depressive symptoms. Exclusion Criteria: cancer in th...
NCT07737353,Effect of Structured Education for Family Members of Intensive Care Patients Undergoing Tracheostomy,RECRUITING,NA,84,ESTIMATED,1,Giresun,ALL,18 Years,No upper limit,"Tracheostomy, Critical Illness, Intensive Care",Inclusion Criteria: Family member or primary caregiver of a patient scheduled to undergo tracheostomy in one of the part...
NCT06188923,A New Intervention to Improve Function in Veterans With Anxiety and Depression,RECRUITING,PHASE2,84,ESTIMATED,1,North Carolina,ALL,18 Years,65 Years,Anxiety and Depression,Inclusion Criteria: Veterans enrolled for care at the Durham VAHCS Veterans who score a minimum score of 20 or higher (m...
NCT07770204,Perioperative Meditation Music Intervention in Patients With Type 2 Diabetes Undergoing Elective Surgery,RECRUITING,NA,84,ESTIMATED,1,Istanbul,ALL,40 Years,70 Years,Diabetes Type 2,Inclusion Criteria: Diagnosed with type 2 diabetes mellitus. Scheduled to undergo elective surgery. Aged 40 to 70 years....
NCT07119983,"Effect of Stress Ball Applied During Surgical Debridement/Dressing on Pain, Distress, and Physiological Parameters in Patients With Diabetic Foot Ulcers",RECRUITING,NA,84,ESTIMATED,1,Tarsus,ALL,18 Years,No upper limit,Diabetic Foot Ulcer Associated With Type II Diabetes Mellitus,Inclusion Criteria: Patients who agree to participate in the study and sign the Informed Consent Form will be included i...
NCT07497347,Effects of Specific Amino Acid Supplementation and Lifestyle Factors on Brain Ageing,RECRUITING,NA,84,ESTIMATED,1,No US/listed site,ALL,65 Years,85 Years,Late-Life Depression,"Inclusion Criteria: Age 65-85 years; Presence of depressive symptoms, defined as a score ≥ 5 on the Geriatric Depression..."
NCT07168187,The Effect of Reflexology on Time to Delivery During Induction of Labor,RECRUITING,NA,84,ESTIMATED,1,No US/listed site,FEMALE,18 Years,No upper limit,"Reflexology, Labor Induction, Extra Amniotic Balloon",Inclusion Criteria: Age of ≥18 years Gestational age of >37 weeks Vertex presentation Intact membranes Station of the fe...
NCT07119138,Effect of Emotional Freedom Technique on Nursing Students Exam Anxiety,RECRUITING,NA,82,ESTIMATED,1,No US/listed site,ALL,18 Years,35 Years,"Pre-Exam Anxiety, Emotional Freedom Technique",Inclusion Criteria: Volunteers to participate in the study • Qualified to take the final exam of the Surgical Diseases N...
NCT06723158,Oral Surgery Virtual Reality Glasses Study,RECRUITING,NA,80,ESTIMATED,1,Massachusetts,ALL,16 Years,65 Years,"Procedural Anxiety, Procedural Pain",Inclusion Criteria: Patients requiring IV sedation for oral surgery procedure Patients able to understand the use of vir...
NCT06949813,"Preventing Maternal Mood, Anxiety, and Trauma Symptoms After Cesarean Delivery",RECRUITING,NA,80,ESTIMATED,1,Colorado,FEMALE,,No upper limit,"Anxiety in Pregnancy, Mood Disorder Due to Specified Medical Condition",Inclusion Criteria: Pregnant Patients at 22-37 weeks gestation Single or multiple gestation Nulliparous or multiparous (...
NCT04832685,Neuromodulation of Mind-Wandering in Depression,ACTIVE_NOT_RECRUITING,NA,80,ESTIMATED,1,Massachusetts,ALL,18 Years,64 Years,Depression,Inclusion Criteria: 1. Male or female 2. Age 18-64 3. Right-handed 4. Normal or corrected-to normal vision and hearing 5...
NCT06508450,A Mental Health Services Engagement Program for Racial and Ethnic Minority Young Adults,RECRUITING,NA,80,ESTIMATED,1,New York,ALL,18 Years,34 Years,"Psychosis, Bipolar and Related Disorders, Depressive Disorder",Inclusion Criteria: Aged 18-34 From groups other than non-Hispanic White Enrolled in services at the partnering clinic s...
NCT06289010,Neural Mechanisms of Family-Focused Treatment for Youth Depression,RECRUITING,NA,80,ESTIMATED,2,Massachusetts,ALL,7 Years,12 Years,Childhood Depression,"Inclusion Criteria: Children must: Have a current DSM-5 diagnosis of MDD, Persistent DD, or DDNOS (based on K-SADS-PL) O..."
NCT07560878,Synaptic Mechanisms of Continuous Theta Burst Stimulation in Depression,RECRUITING,EARLY_PHASE1,80,ESTIMATED,1,Massachusetts,ALL,18 Years,No upper limit,Major Depression,Inclusion Criteria: Can safely receive TMS and study drugs Stable medication regimen for one month prior to study partic...
NCT06574035,Michigan Men's Diabetes Project III(MenDIII): Mind and Motion,RECRUITING,NA,80,ESTIMATED,1,Michigan,MALE,18 Years,No upper limit,"Diabetes Mellitus, Type 2, Depressive Symptoms, Depression",Inclusion Criteria: African American/Black males age 18 years or older ambulatory status diagnosis of Type 2 Diabetes (T...
NCT05712772,Neuro-affective Response to Light in Depressed Adolescents and Young Adults,ACTIVE_NOT_RECRUITING,NA,80,ESTIMATED,1,Pennsylvania,ALL,12 Years,30 Years,"Depression in Adolescence, Depression in Adults",Inclusion Criteria: Elevated Depressive Symptoms [PHQ9≥5 And (Item 1≥1 or Item 2≥1)] (If <18yr) Parent or guardian can a...
NCT06238700,Study on Allopregnanolone and Depression in Women Across the Menopause Transition,RECRUITING,NA,80,ESTIMATED,1,Massachusetts,FEMALE,40 Years,60 Years,Depression,Inclusion Criteria: Healthy women ages 40 to 60 years in the menopause transition Depressive symptoms Psychotropic medic...
NCT06969248,Program to Increase Fathers' Involvement in Infant Care,ACTIVE_NOT_RECRUITING,NA,80,ACTUAL,1,No US/listed site,MALE,18 Years,No upper limit,"Randomised Controlled Trial, Public Health Nursing, Child Health","Inclusion Criteria Having a healthy baby between 4-12 months old, Being a first-time father, Volunteering to participate..."
NCT06389565,Change My Story Task Shifted Mental Health Intervention,RECRUITING,NA,80,ESTIMATED,1,Oyo State,ALL,16 Years,29 Years,"Hiv, Depression, Psychological Distress",Inclusion Criteria: HIV-positive age 16-29 years self-reported proficiency in reading and understanding English. PHQ9 sc...
NCT07305740,On-Trac: An Online Intervention for Cancer Survivors Managing Anxiety,RECRUITING,NA,80,ESTIMATED,1,Massachusetts,ALL,18 Years,No upper limit,"Cancer, Survivorship, Anxiety",Inclusion Criteria: Age ≥ 18 A diagnosis of cancer (except non-melanoma skin cancer) ≥ 12 months prior. No active cancer...
NCT06005194,InMotion - Telehealth Delivered Exercise Promotion to Treat Major Depression After TBI,RECRUITING,NA,80,ESTIMATED,1,Washington,ALL,18 Years,64 Years,"TBI (Traumatic Brain Injury), Depressive Disorder, Major, Clinical Depression, Mood Depressed, Physical Inactivity",Inclusion Criteria: Enrollment in the Traumatic Brain Injury Model System (TBIMS) from one of the six referring centers....
NCT04206969,Assessment of Transcultural Psychotherapy in Child Major Depressive Disorder,ACTIVE_NOT_RECRUITING,NA,80,ESTIMATED,4,No US/listed site,ALL,6 Years,20 Years,Major Depressive Disorder,Inclusion Criteria: Be a child aged or an adolescent aged 6-20 years-old (this may be a declaratory age at the time of t...
NCT07348497,Effects of Preoperative Education on Anxiety and Emergence Agitation,ACTIVE_NOT_RECRUITING,NA,80,ESTIMATED,1,Üsküdar,ALL,18 Years,No upper limit,"Preoperative Anxiety, Emergence Agitation, Surgical Patients",Inclusion Criteria: Age 18 years or older Scheduled for elective general surgery under general anesthesia American Socie...
NCT06324864,START NOW Adapted: Culturally Adapted Version of START NOW,RECRUITING,NA,80,ESTIMATED,1,Canton of Basel-City,ALL,14 Years,18 Years,"Depression, Depression/Anxiety, Anxiety, Adolescent, Emotion Recognition, Mental Health, Resilience,Psychological, Refugee Health",Inclusion Criteria: Being a migrant resettled in Switzerland temporarily or permanently Aged between 14 and 18 Able to s...
NCT05489042,Functional Connectivity Alterations in Suicidal Patients Among Opioid Users,RECRUITING,NA,80,ESTIMATED,1,Texas,ALL,18 Years,64 Years,"Substance Abuse, Suicide, Depression",Inclusion Criteria Opioid Use Patients: Each potential subject will be eligible for inclusion in this study only if the ...
NCT07378995,The Effect of Therapeutic Play Applied Before Intramuscular Injection,RECRUITING,NA,80,ESTIMATED,1,No US/listed site,ALL,4 Years,6 Years,"Child, Only, Fear, Pain","Inclusion Criteria: Children aged 4-6 years, Those who will receive intramuscular injections, Those who have been prescr..."
NCT06389175,Non-invasive Vagus Nerve Stimulation as a Tool to Modulate Stomach-Brain Coupling in Depression,ENROLLING_BY_INVITATION,NA,80,ESTIMATED,1,No US/listed site,ALL,18 Years,55 Years,"Depressive Disorder, Major",Inclusion Criteria: Between 18 and 55 years of age BMI between 18.5 and 30kg/m^2 Legally valid declaration of consent MD...
NCT07653022,The Value of the Turkish Translation of the Four-Dimensional Symptom Questionnaire for Turkish-speaking Patients With Psychological Complaints and Language Barriers.,ENROLLING_BY_INVITATION,NA,80,ESTIMATED,1,Brussels Capital,ALL,18 Years,No upper limit,Depression Anxiety Disorder,Inclusion Criteria: We will include GPs who don't speak Turkish. Patients must: be 18 years or older be fluent in Turkis...
NCT07224165,Developing a Digital Intervention for Adolescent Nonsuicidal Self-injury,RECRUITING,NA,80,ESTIMATED,1,Illinois,ALL,14 Years,18 Years,"Nonsuicidal Self-injury, Depression, Anxiety",Inclusion Criteria: Current NSSI (NSSI on 2 or more days in the last month English language skills sufficient to engage ...
NCT05120635,Intracranial Neurophysiological Signatures of Fear and Anxiety in Humans,RECRUITING,NA,80,ESTIMATED,2,"California, North Carolina",ALL,18 Years,70 Years,"Fear, GAD, Emotional Memory, PTSD",Inclusion Criteria: 18 years of age or older Has undergone acute depth or chronic responsive neurostimulation (RNS) elec...
NCT07230990,Mechanisms Of Orbitofrontal Stimulation in Depression,RECRUITING,NA,80,ESTIMATED,1,Massachusetts,ALL,18 Years,65 Years,Major Depressive Disorder (MDD),"Inclusion Criteria: Age 18-65 years Must be able to read, speak and understand English DSM-5 diagnosis of major depressi..."
NCT07167654,Smartphone Application to Support Mothers at Risk of Postpartum Depression,ACTIVE_NOT_RECRUITING,NA,79,ACTUAL,1,No US/listed site,FEMALE,18 Years,45 Years,"Postpartum Depression, Postpartum Depression (PPD)",Inclusion Criteria: 1. Jordanian women aged 18 to 45 years. 2. Primigravida or multigravida 3. Able to speak and read Ar...
NCT06749392,An Individual-specific Synchrony Signature,RECRUITING,NA,78,ESTIMATED,1,No US/listed site,ALL,18 Years,65 Years,Major Depressive Disorder,Inclusion Criteria: Current major depressive disorder based on the Diagnostic and Statistical Manual of Mental Disorders...
NCT06898788,Probiotic Administration for Adolescent Depression,RECRUITING,EARLY_PHASE1,77,ESTIMATED,1,California,ALL,15 Years,24 Years,Depression,"Inclusion Criteria: Female and male participants 15 to 24 years of age Fluency in English Access to smartphone, tablet, ..."
NCT07017023,Combined Blood Pressure Medication and Activity Scheduling for Low Mood,RECRUITING,EARLY_PHASE1,76,ESTIMATED,1,Oxfordshire,ALL,18 Years,65 Years,"Emotional Processing, Mood",Inclusion Criteria: Willing and able to provide informed consent Aged 18-65 years Self-reported low levels of positive m...
NCT07353697,Evaluation of Therapeutic Play Methods on Preoperative Anxiety and Acute Postoperative Symptoms in School-Age Children,ACTIVE_NOT_RECRUITING,NA,76,ACTUAL,1,Bilecik,ALL,6 Years,12 Years,"Preoperative Anxiety, Postoperative Complications","Inclusion Criteria: Children aged 6 to 12 years Hospitalized at Bilecik Training and Research Hospital, Department of Pe..."
NCT05763537,Understanding the Role of Doulas in Supporting People With PMADs,RECRUITING,NA,75,ESTIMATED,1,Montana,FEMALE,18 Years,No upper limit,"Maternal Health, Pregnancy, Delivery, Obstetric, Self Efficacy, Social Support, Mental Health, Substance-Related Disorders, Postpartum Depression, Depression, Mental Health Services",Inclusion Criteria: Participants must be over the age of 18 Currently pregnant and between 13 and 26 gestational weeks a...
NCT06073886,Personalized Brain Stimulation to Treat Chronic Concussive Symptoms,RECRUITING,PHASE2,75,ESTIMATED,1,California,ALL,18 Years,65 Years,"Post-Concussion Syndrome, Concussion, Brain, Mild Traumatic Brain Injury, Head Injury, Headache, Dizziness, Cognitive Symptom, Dysautonomia, Anxiety, Irritability; Syndrome, Depression, Post-traumatic Stress Disorder",Inclusion Criteria: Mild traumatic brain injury (mTBI) defined in accord with the World Health Organization criteria in ...
NCT06938841,Maintenance rTMS for Depression (Maitr-De),RECRUITING,NA,75,ESTIMATED,3,"Australian Capital Territory, California, New York",ALL,18 Years,80 Years,"Major Depressive Disorder, Treatment Resistant Depression",Inclusion Criteria: 1. They met criteria for a DSM-5 diagnosis of a Major Depressive Episode (MDE) during the index epis...
NCT05897619,Feasibility and Acceptability of a Novel Cognitive Behavioral Skills Mobile App for Pregnant and Postpartum Individuals,RECRUITING,NA,75,ESTIMATED,1,New York,FEMALE,18 Years,No upper limit,"Perinatal Anxiety, Perinatal Depression","Inclusion Criteria: Female, Trans-male, non-binary, gender expansive, or gender questioning gestational carriers of preg..."
NCT06674356,The Effects of Chin Tuck Against Resistance Exercise on Acute Stroke Patients With Dysphagia,RECRUITING,NA,74,ESTIMATED,1,No US/listed site,ALL,18 Years,100 Years,"Acute Stroke, Dysphagia","Inclusion Criteria: 1. Patients diagnosed with hemorrhagic or ischemic stroke, including those with initial diagnoses or..."
NCT06261463,Hybrid Type 1 Randomized Pilot Trial of a Peer-led Family and Social Strengthening Group Intervention for Refugee Families,RECRUITING,NA,74,ESTIMATED,1,Illinois,ALL,12 Years,55 Years,"Depression, Anxiety, PTSD, Family Dynamics, Social Functioning, Family Support, Family Relations","To participate in the study, the families must meet the following criteria: 1. Country of origin: Iraq, Syria, Lebanon, ..."
